PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2024-04-15,12:30,USD,Core Retail Sales (MoM) ,0.011,0.005,0.006,USD-Core Retail Sales (MoM) ,2024-04-14,2024-04-16,12:00,13:00,63836.23046875,65824.4296875,62205.8515625,65738.7265625,63419.296875,64355.66796875,61716.40234375,63811.86328125,65739.6484375,66878.6484375,62332.0703125,63426.2109375,65922.609375,66260.328125,65915.1796875,66111.90625,66095.6640625,66401.5546875,65850.3046875,65850.3046875,,,,
2024-04-15,12:30,USD,Retail Sales (MoM) ,0.007,0.004,0.009,USD-Retail Sales (MoM) ,2024-04-14,2024-04-16,12:00,13:00,63836.23046875,65824.4296875,62205.8515625,65738.7265625,63419.296875,64355.66796875,61716.40234375,63811.86328125,65739.6484375,66878.6484375,62332.0703125,63426.2109375,65922.609375,66260.328125,65915.1796875,66111.90625,66095.6640625,66401.5546875,65850.3046875,65850.3046875,,,,
2024-04-16,17:15,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2024-04-15,2024-04-17,17:00,18:00,65739.6484375,66878.6484375,62332.0703125,63426.2109375,63831.84765625,64486.36328125,59768.5859375,61276.69140625,63419.296875,64355.66796875,61716.40234375,63811.86328125,62715.90234375,63284.203125,62348.10546875,62379.78125,62509.86328125,62986.125,62509.86328125,62986.125,,,,
2024-04-17,9:00,EUR,CPI (YoY) ,0.024,0.024,0.026,EUR-CPI (YoY) ,2024-04-16,2024-04-18,08:00,10:00,63419.296875,64355.66796875,61716.40234375,63811.86328125,61275.31640625,64125.6875,60833.48046875,63512.75390625,63831.84765625,64486.36328125,59768.5859375,61276.69140625,63439.7421875,63598.703125,63249.13671875,63364.12890625,63355.66015625,63355.66015625,62810.3828125,62903.6953125,,,,
2024-04-17,14:30,USD,Crude Oil Inventories,2735000.0,1600000.0,5841000.0,USD-Crude Oil Inventories,2024-04-16,2024-04-18,14:00,15:00,63419.296875,64355.66796875,61716.40234375,63811.86328125,61275.31640625,64125.6875,60833.48046875,63512.75390625,63831.84765625,64486.36328125,59768.5859375,61276.69140625,62664.375,62664.375,60951.06640625,61234.04296875,61291.4765625,61442.109375,60090.42578125,60446.30859375,,,,
2024-04-18,12:30,USD,Initial Jobless Claims,212000.0,215000.0,212000.0,USD-Initial Jobless Claims,2024-04-17,2024-04-19,12:00,13:00,63831.84765625,64486.36328125,59768.5859375,61276.69140625,63510.75,65481.59765625,59651.390625,63843.5703125,61275.31640625,64125.6875,60833.48046875,63512.75390625,62632.671875,62690.5390625,61675.9140625,62166.6328125,62206.140625,62623.55859375,62094.22265625,62623.55859375,,,,
2024-04-18,12:30,USD,Philadelphia Fed Manufacturing Index ,15.5,1.5,3.2,USD-Philadelphia Fed Manufacturing Index ,2024-04-17,2024-04-19,12:00,13:00,63831.84765625,64486.36328125,59768.5859375,61276.69140625,63510.75,65481.59765625,59651.390625,63843.5703125,61275.31640625,64125.6875,60833.48046875,63512.75390625,62632.671875,62690.5390625,61675.9140625,62166.6328125,62206.140625,62623.55859375,62094.22265625,62623.55859375,,,,
2024-04-18,14:00,USD,Existing Home Sales ,4190000.0,4200000.0,4380000.0,USD-Existing Home Sales ,2024-04-17,2024-04-19,13:00,15:00,63831.84765625,64486.36328125,59768.5859375,61276.69140625,63510.75,65481.59765625,59651.390625,63843.5703125,61275.31640625,64125.6875,60833.48046875,63512.75390625,62206.140625,62623.55859375,62094.22265625,62623.55859375,63846.46875,64120.5,63512.69921875,63519.78515625,62818.01953125,63941.71875,62666.21484375,63689.83203125
2024-04-23,13:45,USD,S&P Global US Manufacturing PMI ,49.9,52.0,51.9,USD-S&P Global US Manufacturing PMI ,2024-04-22,2024-04-24,13:00,14:00,64935.6328125,67233.9609375,64548.1796875,66837.6796875,66408.71875,67075.3671875,63589.87109375,64276.8984375,66839.890625,67199.2421875,65864.8671875,66407.2734375,66138.0625,66588.1875,66094.421875,66499.5390625,66542.3125,67129.4609375,66513.7109375,66931.7890625,,,,
2024-04-23,13:45,USD,S&P Global Services PMI ,50.9,52.0,51.7,USD-S&P Global Services PMI ,2024-04-22,2024-04-24,13:00,14:00,64935.6328125,67233.9609375,64548.1796875,66837.6796875,66408.71875,67075.3671875,63589.87109375,64276.8984375,66839.890625,67199.2421875,65864.8671875,66407.2734375,66138.0625,66588.1875,66094.421875,66499.5390625,66542.3125,67129.4609375,66513.7109375,66931.7890625,,,,
2024-04-23,14:00,USD,New Home Sales ,693000.0,668000.0,637000.0,USD-New Home Sales ,2024-04-22,2024-04-24,13:00,15:00,64935.6328125,67233.9609375,64548.1796875,66837.6796875,66408.71875,67075.3671875,63589.87109375,64276.8984375,66839.890625,67199.2421875,65864.8671875,66407.2734375,66138.0625,66588.1875,66094.421875,66499.5390625,66948.84375,66948.84375,66408.703125,66408.703125,66542.3125,67129.4609375,66513.7109375,66931.7890625
2024-04-24,12:30,USD,Durable Goods Orders (MoM) ,0.026,0.025,0.007,USD-Durable Goods Orders (MoM) ,2024-04-23,2024-04-25,12:00,13:00,66839.890625,67199.2421875,65864.8671875,66407.2734375,64275.01953125,65275.20703125,62783.6328125,64481.70703125,66408.71875,67075.3671875,63589.87109375,64276.8984375,66576.8046875,66730.4296875,66383.9609375,66384.3671875,66373.7734375,66373.7734375,65846.1875,66004.3984375,,,,
2024-04-24,14:30,USD,Crude Oil Inventories,-6368000.0,1600000.0,2735000.0,USD-Crude Oil Inventories,2024-04-23,2024-04-25,14:00,15:00,66839.890625,67199.2421875,65864.8671875,66407.2734375,64275.01953125,65275.20703125,62783.6328125,64481.70703125,66408.71875,67075.3671875,63589.87109375,64276.8984375,66043.5,66162.625,64831.91796875,65139.81640625,65219.66796875,65219.66796875,64529.953125,64549.55078125,,,,
2024-04-25,12:30,USD,GDP (QoQ) ,0.016,0.025,0.034,USD-GDP (QoQ) ,2024-04-24,2024-04-26,12:00,13:00,66408.71875,67075.3671875,63589.87109375,64276.8984375,64485.37109375,64789.65625,63322.3984375,63755.3203125,64275.01953125,65275.20703125,62783.6328125,64481.70703125,63849.2109375,64178.72265625,63339.0390625,63464.15625,63398.41796875,63491.75,62783.6328125,63457.41015625,,,,
2024-04-25,12:30,USD,Initial Jobless Claims,207000.0,214000.0,212000.0,USD-Initial Jobless Claims,2024-04-24,2024-04-26,12:00,13:00,66408.71875,67075.3671875,63589.87109375,64276.8984375,64485.37109375,64789.65625,63322.3984375,63755.3203125,64275.01953125,65275.20703125,62783.6328125,64481.70703125,63849.2109375,64178.72265625,63339.0390625,63464.15625,63398.41796875,63491.75,62783.6328125,63457.41015625,,,,
2024-04-26,12:30,USD,Core PCE Price Index (YoY) ,0.028,0.026,0.028,USD-Core PCE Price Index (YoY) ,2024-04-25,2024-04-27,12:00,13:00,64275.01953125,65275.20703125,62783.6328125,64481.70703125,63750.98828125,63898.36328125,62424.71875,63419.140625,64485.37109375,64789.65625,63322.3984375,63755.3203125,64232.6484375,64457.015625,63999.22265625,64136.69921875,64134.91015625,64468.14453125,63723.75,64468.14453125,,,,
2024-04-26,12:30,USD,Core PCE Price Index (MoM) ,0.003,0.003,0.003,USD-Core PCE Price Index (MoM) ,2024-04-25,2024-04-27,12:00,13:00,64275.01953125,65275.20703125,62783.6328125,64481.70703125,63750.98828125,63898.36328125,62424.71875,63419.140625,64485.37109375,64789.65625,63322.3984375,63755.3203125,64232.6484375,64457.015625,63999.22265625,64136.69921875,64134.91015625,64468.14453125,63723.75,64468.14453125,,,,
2024-04-29,12:00,EUR,German CPI (MoM) ,0.005,0.006,0.004,EUR-German CPI (MoM) ,2024-04-28,2024-04-30,11:00,13:00,63423.515625,64321.484375,62793.59765625,63113.23046875,63839.41796875,64703.33203125,59120.06640625,60636.85546875,63106.36328125,64174.87890625,61795.45703125,63841.12109375,62397.92578125,62415.75390625,62199.33203125,62258.08203125,62579.14453125,62657.734375,61826.671875,61974.9375,62254.50390625,62617.44140625,62085.19140625,62609.51171875
2024-04-30,8:00,EUR,German GDP (QoQ) ,0.002,0.001,-0.005,EUR-German GDP (QoQ) ,2024-04-29,2024-05-01,07:00,09:00,63106.36328125,64174.87890625,61795.45703125,63841.12109375,60609.49609375,60780.5,56555.29296875,58254.01171875,63839.41796875,64703.33203125,59120.06640625,60636.85546875,63399.10546875,63436.1484375,63149.0,63149.0,61905.51953125,62105.9765625,61633.34375,61691.46484375,,,,
2024-04-30,9:00,EUR,CPI (YoY) ,0.024,0.024,0.024,EUR-CPI (YoY) ,2024-04-29,2024-05-01,08:00,10:00,63106.36328125,64174.87890625,61795.45703125,63841.12109375,60609.49609375,60780.5,56555.29296875,58254.01171875,63839.41796875,64703.33203125,59120.06640625,60636.85546875,63143.80859375,63228.1875,61851.8359375,61926.984375,61673.65625,61754.7421875,61545.7421875,61726.59765625,,,,
2024-04-30,13:45,USD,Chicago PMI ,37.9,44.9,41.4,USD-Chicago PMI ,2024-04-29,2024-05-01,13:00,14:00,63106.36328125,64174.87890625,61795.45703125,63841.12109375,60609.49609375,60780.5,56555.29296875,58254.01171875,63839.41796875,64703.33203125,59120.06640625,60636.85546875,61210.23828125,61281.48046875,60841.26171875,60844.65625,60816.6875,61509.76171875,60564.10546875,61227.59765625,,,,
