PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent,PrevDate,NextDate,PrevH,NextH,PrevD[BTC-USD][O],PrevD[BTC-USD][H],PrevD[BTC-USD][L],PrevD[BTC-USD][C],NextD[BTC-USD][O],NextD[BTC-USD][H],NextD[BTC-USD][L],NextD[BTC-USD][C],CurrD[BTC-USD][O],CurrD[BTC-USD][H],CurrD[BTC-USD][L],CurrD[BTC-USD][C],PrevH[BTC-USD][O],PrevH[BTC-USD][H],PrevH[BTC-USD][L],PrevH[BTC-USD][C],NextH[BTC-USD][O],NextH[BTC-USD][H],NextH[BTC-USD][L],NextH[BTC-USD][C],CurrH[BTC-USD][O],CurrH[BTC-USD][H],CurrH[BTC-USD][L],CurrH[BTC-USD][C]
2023-09-29,9:00,EUR,CPI (YoY) ,0.043,0.045,0.052,EUR-CPI (YoY) ,2023-09-28,2023-09-30,08:00,10:00,26355.8125,27259.5,26327.322265625,27021.546875,26911.689453125,27091.794921875,26888.96875,26967.916015625,27024.841796875,27225.9375,26721.763671875,26911.720703125,27173.40625,27173.40625,27055.16015625,27060.568359375,27032.912109375,27059.005859375,27015.8203125,27034.08203125,,,,
2023-09-29,12:30,USD,Core PCE Price Index (MoM) ,0.001,0.002,0.002,USD-Core PCE Price Index (MoM) ,2023-09-28,2023-09-30,12:00,13:00,26355.8125,27259.5,26327.322265625,27021.546875,26911.689453125,27091.794921875,26888.96875,26967.916015625,27024.841796875,27225.9375,26721.763671875,26911.720703125,26968.185546875,27007.267578125,26908.255859375,27002.734375,26996.0390625,27041.630859375,26896.865234375,26901.703125,,,,
2023-09-29,12:30,USD,Core PCE Price Index (YoY) ,0.039,0.039,0.043,USD-Core PCE Price Index (YoY) ,2023-09-28,2023-09-30,12:00,13:00,26355.8125,27259.5,26327.322265625,27021.546875,26911.689453125,27091.794921875,26888.96875,26967.916015625,27024.841796875,27225.9375,26721.763671875,26911.720703125,26968.185546875,27007.267578125,26908.255859375,27002.734375,26996.0390625,27041.630859375,26896.865234375,26901.703125,,,,
2023-09-29,13:45,USD,Chicago PMI ,44.1,47.6,48.7,USD-Chicago PMI ,2023-09-28,2023-09-30,13:00,14:00,26355.8125,27259.5,26327.322265625,27021.546875,26911.689453125,27091.794921875,26888.96875,26967.916015625,27024.841796875,27225.9375,26721.763671875,26911.720703125,26996.0390625,27041.630859375,26896.865234375,26901.703125,26897.255859375,27075.935546875,26721.763671875,26877.384765625,,,,
2023-10-02,13:45,USD,S&P Global US Manufacturing PMI ,49.8,48.9,47.9,USD-S&P Global US Manufacturing PMI ,2023-10-01,2023-10-03,13:00,14:00,26967.396484375,28047.23828125,26965.09375,27983.75,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27976.798828125,28494.458984375,27347.787109375,27530.78515625,28359.423828125,28469.5234375,28325.517578125,28469.5234375,28494.458984375,28494.458984375,28216.568359375,28324.63671875,,,,
2023-10-02,14:00,USD,ISM Manufacturing PMI ,49.0,47.7,47.6,USD-ISM Manufacturing PMI ,2023-10-01,2023-10-03,13:00,15:00,26967.396484375,28047.23828125,26965.09375,27983.75,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27976.798828125,28494.458984375,27347.787109375,27530.78515625,28359.423828125,28469.5234375,28325.517578125,28469.5234375,28320.97265625,28400.962890625,28016.51953125,28016.51953125,28494.458984375,28494.458984375,28216.568359375,28324.63671875
2023-10-02,14:00,USD,ISM Manufacturing Prices ,43.8,48.6,48.4,USD-ISM Manufacturing Prices ,2023-10-01,2023-10-03,13:00,15:00,26967.396484375,28047.23828125,26965.09375,27983.75,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27976.798828125,28494.458984375,27347.787109375,27530.78515625,28359.423828125,28469.5234375,28325.517578125,28469.5234375,28320.97265625,28400.962890625,28016.51953125,28016.51953125,28494.458984375,28494.458984375,28216.568359375,28324.63671875
2023-10-02,15:00,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2023-10-01,2023-10-03,14:00,16:00,26967.396484375,28047.23828125,26965.09375,27983.75,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27976.798828125,28494.458984375,27347.787109375,27530.78515625,28494.458984375,28494.458984375,28216.568359375,28324.63671875,28060.2578125,28123.19921875,27884.306640625,27969.013671875,28320.97265625,28400.962890625,28016.51953125,28016.51953125
2023-10-03,14:00,USD,JOLTs Job Openings ,9610000.0,8800000.0,8920000.0,USD-JOLTs Job Openings ,2023-10-02,2023-10-04,13:00,15:00,27976.798828125,28494.458984375,27347.787109375,27530.78515625,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27470.384765625,27578.302734375,27410.529296875,27559.365234375,27356.615234375,27412.72265625,27260.154296875,27338.21875,27557.1875,27557.1875,27290.953125,27365.59375
2023-10-04,12:15,USD,ADP Nonfarm Employment Change ,89000.0,153000.0,180000.0,USD-ADP Nonfarm Employment Change ,2023-10-03,2023-10-05,12:00,13:00,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27574.26953125,27626.869140625,27543.982421875,27568.515625,27573.609375,27573.609375,27453.953125,27453.953125,,,,
2023-10-04,13:45,USD,S&P Global Services PMI ,50.1,50.2,50.5,USD-S&P Global Services PMI ,2023-10-03,2023-10-05,13:00,14:00,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27573.609375,27573.609375,27453.953125,27453.953125,27418.248046875,27452.115234375,27343.28125,27376.236328125,,,,
2023-10-04,14:00,USD,ISM Non-Manufacturing PMI ,53.6,53.6,54.5,USD-ISM Non-Manufacturing PMI ,2023-10-03,2023-10-05,13:00,15:00,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27573.609375,27573.609375,27453.953125,27453.953125,27380.8515625,27466.947265625,27364.8671875,27408.244140625,27418.248046875,27452.115234375,27343.28125,27376.236328125
2023-10-04,14:00,USD,ISM Non-Manufacturing Prices ,58.9,,58.9,USD-ISM Non-Manufacturing Prices ,2023-10-03,2023-10-05,13:00,15:00,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27573.609375,27573.609375,27453.953125,27453.953125,27380.8515625,27466.947265625,27364.8671875,27408.244140625,27418.248046875,27452.115234375,27343.28125,27376.236328125
2023-10-04,14:30,USD,Crude Oil Inventories,-2224000.0,-446000.0,-2170000.0,USD-Crude Oil Inventories,2023-10-03,2023-10-05,14:00,15:00,27508.251953125,27667.19140625,27216.001953125,27429.978515625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27418.248046875,27452.115234375,27343.28125,27376.236328125,27380.8515625,27466.947265625,27364.8671875,27408.244140625,,,,
2023-10-05,12:30,USD,Initial Jobless Claims,207000.0,210000.0,205000.0,USD-Initial Jobless Claims,2023-10-04,2023-10-06,12:00,13:00,27429.07421875,27826.658203125,27248.10546875,27799.39453125,27412.123046875,28252.537109375,27215.552734375,27946.59765625,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27731.00390625,27756.26171875,27689.662109375,27726.255859375,27729.14453125,28088.060546875,27729.14453125,28006.12109375,,,,
2023-10-06,12:30,USD,Average Hourly Earnings (MoM) ,0.002,0.003,0.002,USD-Average Hourly Earnings (MoM) ,2023-10-05,2023-10-07,12:00,13:00,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27946.78125,28028.091796875,27870.423828125,27968.83984375,27412.123046875,28252.537109375,27215.552734375,27946.59765625,27762.619140625,27762.619140625,27306.345703125,27306.345703125,27252.91015625,27680.8984375,27215.552734375,27512.248046875,,,,
2023-10-06,12:30,USD,Nonfarm Payrolls ,336000.0,170000.0,227000.0,USD-Nonfarm Payrolls ,2023-10-05,2023-10-07,12:00,13:00,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27946.78125,28028.091796875,27870.423828125,27968.83984375,27412.123046875,28252.537109375,27215.552734375,27946.59765625,27762.619140625,27762.619140625,27306.345703125,27306.345703125,27252.91015625,27680.8984375,27215.552734375,27512.248046875,,,,
2023-10-06,12:30,USD,Unemployment Rate ,0.038,0.037,0.038,USD-Unemployment Rate ,2023-10-05,2023-10-07,12:00,13:00,27798.646484375,28091.861328125,27375.6015625,27415.912109375,27946.78125,28028.091796875,27870.423828125,27968.83984375,27412.123046875,28252.537109375,27215.552734375,27946.59765625,27762.619140625,27762.619140625,27306.345703125,27306.345703125,27252.91015625,27680.8984375,27215.552734375,27512.248046875,,,,
2023-10-11,6:00,EUR,German CPI (MoM) ,0.003,0.003,0.003,EUR-German CPI (MoM) ,2023-10-10,2023-10-12,05:00,07:00,27589.201171875,27715.84765625,27301.654296875,27391.01953125,26873.29296875,26921.439453125,26558.3203125,26756.798828125,27392.076171875,27474.115234375,26561.099609375,26873.3203125,27121.99609375,27138.330078125,27066.78515625,27113.50390625,27076.798828125,27094.025390625,27028.048828125,27028.048828125,,,,
2023-10-11,12:30,USD,PPI (MoM) ,0.005,0.003,0.007,USD-PPI (MoM) ,2023-10-10,2023-10-12,12:00,13:00,27589.201171875,27715.84765625,27301.654296875,27391.01953125,26873.29296875,26921.439453125,26558.3203125,26756.798828125,27392.076171875,27474.115234375,26561.099609375,26873.3203125,27196.958984375,27258.455078125,27062.796875,27171.68359375,27172.865234375,27185.61328125,27086.4765625,27143.173828125,,,,
2023-10-11,17:00,USD,10-Year Note Auction,0.046,,0.043,USD-10-Year Note Auction,2023-10-10,2023-10-12,16:00,18:00,27589.201171875,27715.84765625,27301.654296875,27391.01953125,26873.29296875,26921.439453125,26558.3203125,26756.798828125,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26781.83203125,26781.83203125,26648.220703125,26692.33203125,26626.919921875,26691.12890625,26586.822265625,26691.12890625,26663.646484375,26699.42578125,26561.099609375,26626.88671875
2023-10-11,18:00,USD,FOMC Meeting Minutes,,,,USD-FOMC Meeting Minutes,2023-10-10,2023-10-12,17:00,19:00,27589.201171875,27715.84765625,27301.654296875,27391.01953125,26873.29296875,26921.439453125,26558.3203125,26756.798828125,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26663.646484375,26699.42578125,26561.099609375,26626.88671875,26682.24609375,26781.166015625,26677.544921875,26758.365234375,26626.919921875,26691.12890625,26586.822265625,26691.12890625
2023-10-12,12:30,USD,Core CPI (MoM) ,0.003,0.003,0.003,USD-Core CPI (MoM) ,2023-10-11,2023-10-13,12:00,13:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26832.701171875,26850.97265625,26768.43359375,26808.294921875,26825.78125,26854.744140625,26684.94921875,26733.5234375,,,,
2023-10-12,12:30,USD,CPI (YoY) ,0.037,0.036,0.037,USD-CPI (YoY) ,2023-10-11,2023-10-13,12:00,13:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26832.701171875,26850.97265625,26768.43359375,26808.294921875,26825.78125,26854.744140625,26684.94921875,26733.5234375,,,,
2023-10-12,12:30,USD,CPI (MoM) ,0.004,0.003,0.005,USD-CPI (MoM) ,2023-10-11,2023-10-13,12:00,13:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26832.701171875,26850.97265625,26768.43359375,26808.294921875,26825.78125,26854.744140625,26684.94921875,26733.5234375,,,,
2023-10-12,12:30,USD,Initial Jobless Claims,209000.0,210000.0,209000.0,USD-Initial Jobless Claims,2023-10-11,2023-10-13,12:00,13:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26832.701171875,26850.97265625,26768.43359375,26808.294921875,26825.78125,26854.744140625,26684.94921875,26733.5234375,,,,
2023-10-12,15:00,USD,Crude Oil Inventories,10176000.0,492000.0,-2224000.0,USD-Crude Oil Inventories,2023-10-11,2023-10-13,14:00,16:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26748.0625,26767.798828125,26661.39453125,26684.8671875,26661.44921875,26771.5,26601.3671875,26680.00390625,26690.513671875,26718.88671875,26623.6640625,26673.099609375
2023-10-12,17:00,USD,30-Year Bond Auction,0.048,,0.043,USD-30-Year Bond Auction,2023-10-11,2023-10-13,16:00,18:00,27392.076171875,27474.115234375,26561.099609375,26873.3203125,26752.87890625,27092.697265625,26686.322265625,26862.375,26873.29296875,26921.439453125,26558.3203125,26756.798828125,26661.44921875,26771.5,26601.3671875,26680.00390625,26630.552734375,26715.13671875,26594.056640625,26657.232421875,26665.634765625,26677.626953125,26558.3203125,26633.58984375
2023-10-17,12:30,USD,Core Retail Sales (MoM) ,0.006,0.002,0.009,USD-Core Retail Sales (MoM) ,2023-10-16,2023-10-18,12:00,13:00,27162.62890625,29448.138671875,27130.47265625,28519.466796875,28413.53125,28889.009765625,28174.251953125,28328.341796875,28522.09765625,28618.751953125,28110.185546875,28415.748046875,28437.48828125,28467.34765625,28248.77734375,28264.068359375,28232.333984375,28390.53125,28172.90625,28343.345703125,,,,
2023-10-17,12:30,USD,Retail Sales (MoM) ,0.007,0.003,0.008,USD-Retail Sales (MoM) ,2023-10-16,2023-10-18,12:00,13:00,27162.62890625,29448.138671875,27130.47265625,28519.466796875,28413.53125,28889.009765625,28174.251953125,28328.341796875,28522.09765625,28618.751953125,28110.185546875,28415.748046875,28437.48828125,28467.34765625,28248.77734375,28264.068359375,28232.333984375,28390.53125,28172.90625,28343.345703125,,,,
2023-10-18,9:00,EUR,CPI (YoY) ,0.043,0.043,0.052,EUR-CPI (YoY) ,2023-10-17,2023-10-19,08:00,10:00,28522.09765625,28618.751953125,28110.185546875,28415.748046875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28413.53125,28889.009765625,28174.251953125,28328.341796875,28506.75,28567.12109375,28491.044921875,28567.12109375,28278.796875,28424.283203125,28278.796875,28387.361328125,,,,
2023-10-18,14:30,USD,Crude Oil Inventories,-4491000.0,-300000.0,10176000.0,USD-Crude Oil Inventories,2023-10-17,2023-10-19,14:00,15:00,28522.09765625,28618.751953125,28110.185546875,28415.748046875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28413.53125,28889.009765625,28174.251953125,28328.341796875,28354.17578125,28371.04296875,28174.251953125,28222.609375,28205.05859375,28290.0546875,28199.4921875,28266.0234375,,,,
2023-10-19,12:30,USD,Initial Jobless Claims,198000.0,212000.0,211000.0,USD-Initial Jobless Claims,2023-10-18,2023-10-20,12:00,13:00,28413.53125,28889.009765625,28174.251953125,28328.341796875,28732.8125,30104.0859375,28601.669921875,29682.94921875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28454.849609375,28566.75,28449.9609375,28496.15625,28500.951171875,28567.529296875,28459.234375,28488.619140625,,,,
2023-10-19,12:30,USD,Philadelphia Fed Manufacturing Index ,-9.0,-6.4,-13.5,USD-Philadelphia Fed Manufacturing Index ,2023-10-18,2023-10-20,12:00,13:00,28413.53125,28889.009765625,28174.251953125,28328.341796875,28732.8125,30104.0859375,28601.669921875,29682.94921875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28454.849609375,28566.75,28449.9609375,28496.15625,28500.951171875,28567.529296875,28459.234375,28488.619140625,,,,
2023-10-19,14:00,USD,Existing Home Sales ,3960000.0,3890000.0,4040000.0,USD-Existing Home Sales ,2023-10-18,2023-10-20,13:00,15:00,28413.53125,28889.009765625,28174.251953125,28328.341796875,28732.8125,30104.0859375,28601.669921875,29682.94921875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28500.951171875,28567.529296875,28459.234375,28488.619140625,28702.982421875,28798.2265625,28600.572265625,28695.740234375,28492.435546875,28693.732421875,28461.93359375,28693.732421875
2023-10-19,16:00,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2023-10-18,2023-10-20,15:00,17:00,28413.53125,28889.009765625,28174.251953125,28328.341796875,28732.8125,30104.0859375,28601.669921875,29682.94921875,28332.416015625,28892.474609375,28177.98828125,28719.806640625,28702.982421875,28798.2265625,28600.572265625,28695.740234375,28641.34375,28702.193359375,28493.609375,28560.7890625,28693.302734375,28892.474609375,28635.103515625,28648.3984375
2023-10-24,13:45,USD,S&P Global US Manufacturing PMI ,50.0,49.5,49.8,USD-S&P Global US Manufacturing PMI ,2023-10-23,2023-10-25,13:00,14:00,30140.685546875,34370.4375,30097.828125,33086.234375,33916.04296875,35133.7578125,33709.109375,34502.8203125,33077.3046875,35150.43359375,32880.76171875,33901.52734375,34583.6015625,34583.6015625,34219.34765625,34424.05078125,34446.62890625,34453.50390625,34090.98828125,34271.2265625,,,,
2023-10-24,13:45,USD,S&P Global Services PMI ,50.9,49.8,50.1,USD-S&P Global Services PMI ,2023-10-23,2023-10-25,13:00,14:00,30140.685546875,34370.4375,30097.828125,33086.234375,33916.04296875,35133.7578125,33709.109375,34502.8203125,33077.3046875,35150.43359375,32880.76171875,33901.52734375,34583.6015625,34583.6015625,34219.34765625,34424.05078125,34446.62890625,34453.50390625,34090.98828125,34271.2265625,,,,
2023-10-25,14:00,USD,New Home Sales ,759000.0,680000.0,676000.0,USD-New Home Sales ,2023-10-24,2023-10-26,13:00,15:00,33077.3046875,35150.43359375,32880.76171875,33901.52734375,34504.2890625,34832.91015625,33762.32421875,34156.6484375,33916.04296875,35133.7578125,33709.109375,34502.8203125,34345.26953125,34646.9375,34324.67578125,34500.25390625,34795.6015625,34996.94921875,34662.94140625,34900.921875,34494.734375,34795.84765625,34353.84765625,34795.84765625
2023-10-25,14:30,USD,Crude Oil Inventories,1371000.0,239000.0,-4491000.0,USD-Crude Oil Inventories,2023-10-24,2023-10-26,14:00,15:00,33077.3046875,35150.43359375,32880.76171875,33901.52734375,34504.2890625,34832.91015625,33762.32421875,34156.6484375,33916.04296875,35133.7578125,33709.109375,34502.8203125,34494.734375,34795.84765625,34353.84765625,34795.84765625,34795.6015625,34996.94921875,34662.94140625,34900.921875,,,,
2023-10-25,20:35,USD,Fed Chair Powell Speaks,,,,USD-Fed Chair Powell Speaks,2023-10-24,2023-10-26,20:00,21:00,33077.3046875,35150.43359375,32880.76171875,33901.52734375,34504.2890625,34832.91015625,33762.32421875,34156.6484375,33916.04296875,35133.7578125,33709.109375,34502.8203125,34761.78515625,34845.02734375,34645.4765625,34681.0390625,34680.46875,34769.03125,34544.8125,34582.0703125,,,,
2023-10-26,12:15,EUR,Deposit Facility Rate ,0.04,0.04,0.04,EUR-Deposit Facility Rate ,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-26,12:15,EUR,ECB Interest Rate Decision ,0.045,0.045,0.045,EUR-ECB Interest Rate Decision ,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-26,12:30,USD,Durable Goods Orders (MoM) ,0.047,0.017,-0.001,USD-Durable Goods Orders (MoM) ,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-26,12:30,USD,GDP (QoQ) ,0.049,0.043,0.021,USD-GDP (QoQ) ,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-26,12:30,USD,Initial Jobless Claims,210000.0,208000.0,200000.0,USD-Initial Jobless Claims,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-26,12:45,EUR,ECB Press Conference,,,,EUR-ECB Press Conference,2023-10-25,2023-10-27,12:00,13:00,33916.04296875,35133.7578125,33709.109375,34502.8203125,34156.5,34238.2109375,33416.88671875,33909.80078125,34504.2890625,34832.91015625,33762.32421875,34156.6484375,34110.72265625,34326.8671875,34110.72265625,34291.35546875,34271.59375,34365.65625,34215.09375,34221.79296875,,,,
2023-10-27,12:30,USD,Core PCE Price Index (MoM) ,0.003,0.003,0.001,USD-Core PCE Price Index (MoM) ,2023-10-26,2023-10-28,12:00,13:00,34504.2890625,34832.91015625,33762.32421875,34156.6484375,33907.72265625,34399.390625,33874.8046875,34089.57421875,34156.5,34238.2109375,33416.88671875,33909.80078125,34045.78125,34194.80859375,33986.11328125,34095.5625,34111.1171875,34201.7734375,34107.421875,34164.046875,,,,
2023-10-27,12:30,USD,Core PCE Price Index (YoY) ,0.037,0.037,0.038,USD-Core PCE Price Index (YoY) ,2023-10-26,2023-10-28,12:00,13:00,34504.2890625,34832.91015625,33762.32421875,34156.6484375,33907.72265625,34399.390625,33874.8046875,34089.57421875,34156.5,34238.2109375,33416.88671875,33909.80078125,34045.78125,34194.80859375,33986.11328125,34095.5625,34111.1171875,34201.7734375,34107.421875,34164.046875,,,,
2023-10-30,9:00,EUR,German GDP (QoQ) ,-0.001,-0.003,0.001,EUR-German GDP (QoQ) ,2023-10-29,2023-10-31,08:00,10:00,34089.37109375,34743.26171875,33947.56640625,34538.48046875,34500.078125,34719.25390625,34083.30859375,34667.78125,34531.7421875,34843.93359375,34110.97265625,34502.36328125,34211.0703125,34426.703125,34181.26953125,34405.26953125,34537.40625,34578.65625,34447.57421875,34536.38671875,,,,
2023-10-30,13:00,EUR,German CPI (MoM) ,0.0,0.002,0.003,EUR-German CPI (MoM) ,2023-10-29,2023-10-31,12:00,14:00,34089.37109375,34743.26171875,33947.56640625,34538.48046875,34500.078125,34719.25390625,34083.30859375,34667.78125,34531.7421875,34843.93359375,34110.97265625,34502.36328125,34612.08203125,34819.203125,34584.86328125,34598.23046875,34679.1484375,34843.93359375,34585.5,34619.9375,34609.17578125,34766.72265625,34516.7421875,34681.62890625
2023-10-31,10:00,EUR,CPI (YoY) ,0.029,0.031,0.043,EUR-CPI (YoY) ,2023-10-30,2023-11-01,09:00,11:00,34531.7421875,34843.93359375,34110.97265625,34502.36328125,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34500.078125,34719.25390625,34083.30859375,34667.78125,34423.4609375,34471.2578125,34362.75,34449.53125,34447.1484375,34548.13671875,34406.0546875,34518.58203125,34438.734375,34458.7890625,34369.38671875,34455.1875
2023-10-31,13:45,USD,Chicago PMI ,44.0,45.0,44.1,USD-Chicago PMI ,2023-10-30,2023-11-01,13:00,14:00,34531.7421875,34843.93359375,34110.97265625,34502.36328125,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34500.078125,34719.25390625,34083.30859375,34667.78125,34310.35546875,34348.1484375,34188.7890625,34218.953125,34221.9375,34374.11328125,34161.84765625,34336.8203125,,,,
2023-10-31,14:00,USD,CB Consumer Confidence ,102.6,100.0,104.3,USD-CB Consumer Confidence ,2023-10-30,2023-11-01,13:00,15:00,34531.7421875,34843.93359375,34110.97265625,34502.36328125,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34500.078125,34719.25390625,34083.30859375,34667.78125,34310.35546875,34348.1484375,34188.7890625,34218.953125,34332.77734375,34368.515625,34176.0625,34290.8984375,34221.9375,34374.11328125,34161.84765625,34336.8203125
2023-11-01,12:15,USD,ADP Nonfarm Employment Change ,113000.0,150000.0,89000.0,USD-ADP Nonfarm Employment Change ,2023-10-31,2023-11-02,12:00,13:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34431.94921875,34852.7265625,34355.21875,34809.65625,34781.2734375,35145.33984375,34442.921875,34577.28125,,,,
2023-11-01,13:45,USD,S&P Global US Manufacturing PMI ,50.0,50.0,49.8,USD-S&P Global US Manufacturing PMI ,2023-10-31,2023-11-02,13:00,14:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34781.2734375,35145.33984375,34442.921875,34577.28125,34591.14453125,34658.6640625,34170.69140625,34224.0859375,,,,
2023-11-01,14:00,USD,ISM Manufacturing PMI ,46.7,49.0,49.0,USD-ISM Manufacturing PMI ,2023-10-31,2023-11-02,13:00,15:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34781.2734375,35145.33984375,34442.921875,34577.28125,34199.46484375,34312.6796875,34199.46484375,34293.30078125,34591.14453125,34658.6640625,34170.69140625,34224.0859375
2023-11-01,14:00,USD,ISM Manufacturing Prices ,45.1,45.0,43.8,USD-ISM Manufacturing Prices ,2023-10-31,2023-11-02,13:00,15:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34781.2734375,35145.33984375,34442.921875,34577.28125,34199.46484375,34312.6796875,34199.46484375,34293.30078125,34591.14453125,34658.6640625,34170.69140625,34224.0859375
2023-11-01,14:00,USD,JOLTs Job Openings ,9553000.0,9250000.0,9497000.0,USD-JOLTs Job Openings ,2023-10-31,2023-11-02,13:00,15:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34781.2734375,35145.33984375,34442.921875,34577.28125,34199.46484375,34312.6796875,34199.46484375,34293.30078125,34591.14453125,34658.6640625,34170.69140625,34224.0859375
2023-11-01,14:30,USD,Crude Oil Inventories,774000.0,1261000.0,1371000.0,USD-Crude Oil Inventories,2023-10-31,2023-11-02,14:00,15:00,34500.078125,34719.25390625,34083.30859375,34667.78125,35441.578125,35919.84375,34401.57421875,34938.2421875,34657.2734375,35527.9296875,34170.69140625,35437.25390625,34591.14453125,34658.6640625,34170.69140625,34224.0859375,34199.46484375,34312.6796875,34199.46484375,34293.30078125,,,,
