PubDate,PubTime,Currency,Event,Actual,Forecast,Previous,CurrEvent
2022/11/10,13:30,USD,Core CPI (MoM) ,0.003,0.005,0.006,USD-Core CPI (MoM) 
2022/11/10,13:30,USD,CPI (MoM) ,0.004,0.006,0.004,USD-CPI (MoM) 
2022/11/10,13:30,USD,CPI (YoY) ,0.077,0.08,0.082,USD-CPI (YoY) 
2022/11/10,13:30,USD,Initial Jobless Claims,225000.0,220000.0,218000.0,USD-Initial Jobless Claims
2022/11/10,18:00,USD,30-Year Bond Auction,0.041,,0.039,USD-30-Year Bond Auction
2022/11/11,7:00,EUR,German CPI (MoM) ,0.009,0.009,0.019,EUR-German CPI (MoM) 
2022/11/15,13:30,USD,PPI (MoM) ,0.002,0.004,0.002,USD-PPI (MoM) 
2022/11/16,13:30,USD,Core Retail Sales (MoM) ,0.013,0.004,0.001,USD-Core Retail Sales (MoM) 
2022/11/16,13:30,USD,Retail Sales (MoM) ,0.013,0.01,0.0,USD-Retail Sales (MoM) 
2022/11/16,15:30,USD,Crude Oil Inventories,-5400000.0,-440000.0,3925000.0,USD-Crude Oil Inventories
2022/11/17,10:00,EUR,CPI (YoY) ,0.106,0.107,0.099,EUR-CPI (YoY) 
2022/11/17,13:30,USD,Initial Jobless Claims,222000.0,225000.0,226000.0,USD-Initial Jobless Claims
2022/11/17,13:30,USD,Philadelphia Fed Manufacturing Index ,-19.4,-6.2,-8.7,USD-Philadelphia Fed Manufacturing Index 
2022/11/17,18:45,USD,Sec Kashkari Speaks  ,,,,USD-Sec Kashkari Speaks  
2022/11/18,15:00,USD,Existing Home Sales ,4430000.0,4380000.0,4710000.0,USD-Existing Home Sales 
2022/11/23,13:30,USD,Durable Goods Orders (MoM) ,0.01,0.004,0.003,USD-Durable Goods Orders (MoM) 
2022/11/23,13:30,USD,Initial Jobless Claims,240000.0,225000.0,223000.0,USD-Initial Jobless Claims
2022/11/23,14:45,USD,S&P Global US Manufacturing PMI   ,47.6,50.0,50.4,USD-S&P Global US Manufacturing PMI   
2022/11/23,14:45,USD,S&P Global Services PMI   ,46.1,47.9,47.8,USD-S&P Global Services PMI   
2022/11/23,15:00,USD,New Home Sales ,632000.0,570000.0,588000.0,USD-New Home Sales 
2022/11/23,15:30,USD,Crude Oil Inventories,-3691000.0,-1055000.0,-5400000.0,USD-Crude Oil Inventories
2022/11/23,19:00,USD,FOMC Meeting Minutes  ,,,,USD-FOMC Meeting Minutes  
2022/11/25,7:00,EUR,German GDP (QoQ) ,0.004,0.003,0.001,EUR-German GDP (QoQ) 
2022/11/29,13:00,EUR,German CPI (MoM)   ,-0.005,-0.002,0.009,EUR-German CPI (MoM)   
2022/11/29,15:00,USD,CB Consumer Confidence ,100.2,100.0,102.2,USD-CB Consumer Confidence 
2022/11/30,10:00,EUR,CPI (YoY)   ,0.1,0.104,0.106,EUR-CPI (YoY)   
2022/11/30,13:15,USD,ADP Nonfarm Employment Change ,127000.0,200000.0,239000.0,USD-ADP Nonfarm Employment Change 
2022/11/30,13:30,USD,GDP (QoQ)   ,0.029,0.027,0.026,USD-GDP (QoQ)   
2022/11/30,14:45,USD,Chicago PMI ,37.2,47.0,45.2,USD-Chicago PMI 
2022/11/30,15:00,USD,JOLTs Job Openings ,10334000.0,10300000.0,10687000.0,USD-JOLTs Job Openings 
2022/11/30,15:30,USD,Crude Oil Inventories,-12580000.0,-2758000.0,-3691000.0,USD-Crude Oil Inventories
2022/11/30,18:30,USD,Fed Chair Powell Speaks  ,,,,USD-Fed Chair Powell Speaks  
2022/12/01,13:30,USD,Core PCE Price Index (YoY) ,0.05,0.05,0.052,USD-Core PCE Price Index (YoY) 
2022/12/01,13:30,USD,Core PCE Price Index (MoM) ,0.002,0.003,0.005,USD-Core PCE Price Index (MoM) 
